,comment
250,"Caramba q letra❤misturado com o Mauro,mt bao"
251,"Caraca muleque!!! Que som loco!! Saudade de todos vocês, mano!! Abração em todos!
Julão"
252,Uma das canções mais lindas que já ouvi nos últimos tempos. Vício instantâneo
253,Que música linda... me dá nostalgia e percebo Deus dentro de mim msm.
254,"Que mensagem maravilhosa dessa canção, instrumental toppppp, Glória Deus pela sua vida"
255,Trazendo sempre arranjos maravilhosos e inovadores👏👏10.
256,"Cara, bênção man que Deus continue a te inspirar 🙏"
257,Um dos melhores músicos q ja vi/ouvi!
258,MELHOR LOUVOR CARA!!! 😭
259,Essa música mostra onde Deus quer ser encontrado: No próximo! ❤
260,"Linda canção, estamos precisando de letras assim, isso que é evangelho!!!♥️🔥"
261,"Você sempre traz uma mensagem para reflexão. Obrigada, irmão!"
262,"Que mensagem meu amigo! Como sempre digo, talento em prol do reino!!!"
263,"Cara, eu precisava disso😭
Que Deus te abençoe muito e Sempre🙏"
264,"Cara, fiquei sem reação com a letra, tu é demais Vey , Deus abençoe♥️🤘"
265,"YouTube,  por favor,  criem um botão de apertar like e sair mil likes . Um não basta pra esse conjunto ( letra , melodia, harmonia e voz) 
Parabéns Mauro!"
266,"linda música mano!!!
Deus abençoe sempre!!!!
que sejamos Pequeninos!!!"
267,Ai que linda canção. Emocionante e cheia de verdade. 😭😍
268,Ah Mauro 🥺 não esperava menos de você! Tô repeat pra sempre
269,"Que linda❤️😍
Aguardo a versão acústica rsrs"
270,"Tá difícil viver, peço forças a Deus, seu som é como morfina pra mim. Alivia a dor."
271,Amo vcs e suas músicas são realmente comoventes ❤❤❤
272,"Que mensagem, que voz. Deus abençoe ricamente mano!"
